Location|Age|T_g|P|SiO2|TiO2|Al2O3|FeOT|MnO|MgO|CaO|Na2O|K2O
Chile ridge glasses|0|1374.48480796263|1.13424277719051|50.53|1.3|15.44|8.71287128712871|0.12|7.97|11.57|2.85|0.02
Chile ridge glasses|0|1351.58938813682|1.01169894578413|50.58|1.18|15.95|8.24482448244824|0.12|8.18|11.65|2.78|0.02
Chile ridge glasses|0|1416.02308900606|1.36671046270504|50.09|1.43|14.88|9.6039603960396|0.12|8.28|11.04|2.69|0.02
Chile ridge glasses|0|1380.22795732513|1.16934277328729|50.46|1.22|15.17|8.83888388838884|0.12|8.56|12.4|2.69|0.02
Chile ridge glasses|0|1402.87041458193|1.32668968236978|50.02|1.35|15.1|9.30693069306931|0.12|8.63|11.34|2.76|0.02
Chile ridge glasses|0|1250.06631343468|0.446270403245463|50.06|1.12|15.71|5.9045904590459|0.12|8.68|11.83|2.36|0.02
DSDP|0|1339.04231127381|0.92919982567171|49.7|0.72|16.4|7.9|0.12|10.1|13.1|1.98|0.01
DSDP|0|1340.19934227672|0.934222266573611|49.61|0.71|16.24|7.92|0.12|10.49|12.87|1.96|0.01
DSDP|0|1318.20249162944|0.512243373699857|50.93|1.01|17.27|7.67|0.2|11.03|11.36|0.36|
DSDP|0|1348.95912650065|0.984423546526337|49.18|0.68|15.44|7.99|0.11|12.41|12.24|1.86|0.01
DSDP|0|1452.69012452548|1.57146803470017|47.88|0.56|14.23|9.3|0.14|15.01|10.69|1.85|0.14
DSDP|0|1446.23015231322|1.34858756762056|48.44|0.83|14.04|9.27|0.14|15.31|10.24|1.42|0.02
DSDP|0|1387.39520083874|1.05752109492435|48.35|0.61|13.82|7.98|0.1|16.44|10.96|1.67|0.01
FAMOUS|0|1381.76338055167|1.21810033680527|48.6|0.61|16.3|8.69|0.15|10.2|12.3|1.9|0.07
FAMOUS|0|1381.76338055167|1.21810033680527|48.6|0.61|16.3|8.69|0.15|10.2|12.3|1.9|0.07
FAMOUS|0|1381.53630801497|1.21776233418652|49.1|0.62|16.5|8.78|0.15|10.3|12.4|1.92|0.07
FAMOUS|0|1381.09252366552|1.20913106153523|49.1|0.62|16.5|8.78|0.15|10.3|12.2|1.92|0.07
FAMOUS|0|1404.98332718658|1.36551580018752|49.4|0.68|15.8|9.35|0|10.6|11.9|2.02|0.23
FAMOUS|0|1354.03253420075|0.93608771395864|50.48|0.87|15.33|8.36|0.15|10.72|11.84|1.88|0.17
FAMOUS|0|1382.70205913695|1.19933612671616|48.4|0.81|15.3|8.66|0.15|11.2|11.8|1.84|0.11
FAMOUS|0|1338.88359743796|0.955125910108822|48.7|0.69|16.1|7.73|0.19|11.23|12.41|1.8|0.07
FAMOUS|0|1353.56615112984|1.07304021178839|48.5|0.75|16.2|8.07|0.16|11.24|12.42|1.85|0.07
FAMOUS|0|1349.74299391238|0.981878033817817|48.78|0.63|15.77|7.96|0.15|12.32|12.61|1.55|0.09
LEG 37|0|1418.56413072748|1.59414908017152|46.49|0.73|15.14|9.055|0.15|9.27|12.15|2.3|0.18
LEG 37|0|1412.65670492949|1.50932429745333|47.2|0.73|15.03|9.085|0.11|10.53|11.39|2.26|0.14
LEG 37|0|1409.0749179592|1.46368356890435|46.33|0.59|15.32|8.873|0.12|10.8|11.35|1.9|0.13
LEG 37|0|1445.83715679628|1.82687802491628|47.36|0.73|15.09|9.846|0.16|10.87|10.71|2.5|0.19
LEG 37|0|1404.85066741051|1.4051351681371|47.57|0.6|15.31|9.012|0.13|10.95|11.14|2.07|0.12
LEG 37|0|1433.05021004416|1.64788799531401|46.6|0.58|14.8|9.402|0.14|11.06|11.2|2.07|0.14
LEG 37|0|1404.6868807477|1.40679709020078|46.99|0.7|14.7|8.876|0.16|11.06|11.16|2.08|0.11
LEG 37|0|1420.08137301911|1.59346419695295|46.66|0.7|14.79|9.137|0.15|11.3|11.19|2.19|0.15
LEG 37|0|1379.54139988507|1.31903100768377|47.8|0.6|16.2|8.55|0.19|11.4|11.3|2.11|0.14
LEG 37|0|1432.07465809811|1.58235052132301|47.6|0.58|13.8|9.369|0.18|14.8|10.7|1.84|0.05
MORB 13 Niu and O'Hara 2009|0|1378.01992235516|1.27599091217484|47.55|0.798|15.96|8.36|0.149|13|12.43|1.63|0.0378
MORB glass Atlantic|0|1385.17658971302|1.16717541513536|50.6|1.05|15|8.97|0.18|8.7|12.5|2.43|0.11
