Location|Age|T_g|P|SiO2|TiO2|Al2O3|FeOT|MnO|MgO|CaO|Na2O|K2O
Iceland basalts|1|1338.61776376369|0.74028108943542|49.92|0.66|14.62|7.79124475524475|0.1|11.02|14.24|1.47|0.02
Iceland basalts|1|1347.80711305608|0.902444424248946|49.081|0.424|15.896|7.93245034965035|0.152|11.341|13.535|1.46|0.024
Iceland basalts|1|1416.94765589295|1.20046145055975|46.182|0.364|12.026|7.93879440559441|0.139|20.004|11.12|1.07|0.015
Iceland basalts|1|1357.51652108781|0.898002148312249|49.17|0.42|15.6|8.19822377622378|0.11|11.05|13.97|1.3|0.02
Iceland basalts|1|1407.93777117483|1.06813236136302|47.47|0.502|13.41|8.21106153846154|0.155|15.73|12.5|1.13|0.011
Iceland basalts|1|1363.71717745366|1.05589119654916|48.344|0.578|15.758|8.22171328671329|0.153|11.27|13.311|1.58|0.026
Iceland basalts|1|1374.41811943998|1.13753688805772|47.772|0.537|15.059|8.27866013986014|0.151|13.137|12.546|1.51|0.023
Iceland basalts|1|1367.88479111931|0.941397329152847|48.6|0.62|14.67|8.3052027972028|0.174|11.2|12.92|1.35|0.033
Iceland basalts|1|1368.13432946955|0.937354012041931|48.99|0.43|15|8.30822377622378|0.12|12.1|13.72|1.18|0.03
Iceland basalts|1|1365.69643893977|1.04795976333758|48.85|0.74|15.47|8.3352027972028|0.13|11.33|13.37|1.63|0.02
Iceland basalts|1|1365.58952752609|0.980475012913939|48.79|0.42|15.81|8.33721678321678|0.14|11.24|13.77|1.28|0.02
Iceland basalts|1|1382.67732997015|1.05029678058928|48.223|0.601|13.077|8.39192867132867|0.156|14.493|12.703|1.35|0.046
Iceland basalts|1|1431.42842671155|1.43906500593291|46.21|0.41|13.69|8.392|0.15|18.15|10.99|1.32|0.01
Iceland basalts|1|1381.44217310036|1.20099137444168|47.81|0.509|15.12|8.41084615384616|0.161|13.8|12.62|1.46|0.017
Iceland basalts|1|1388.27581665318|1.13245396332905|47.7|0.47|13.9|8.459|0.13|14|12.7|1.3|0.04
Iceland basalts|1|1376.04109785752|0.999713687374355|48.65|0.41|15.1|8.5052027972028|0.11|12.06|13.87|1.15|0.01
Iceland basalts|1|1428.32345423908|1.37355766287979|46.778|0.505|14.192|8.54182097902098|0.15|16.253|11.502|1.35|0.037
Iceland basalts|1|1381.20846976209|1.14210444855459|48.38|0.84|14.71|8.55815384615385|0.11|11.12|14.23|1.46|0.23
Iceland basalts|1|1377.6234913125|1.07555331834495|49.1|0.84|14.8|8.61|0.15|11.3|13.3|1.58|0.07
Iceland basalts|1|1378.54812617023|1.06785368315046|49.15|0.84|14.77|8.65|0.15|11.27|13.31|1.54|0.07
Iceland basalts|1|1494.20340330824|1.80888859271258|45.097|0.293|10.2|8.67393706293706|0.146|24.689|8.781|0.92|0.013
Iceland basalts|1|1547.90276870173|1.90663508576732|44.957|0.285|9.979|8.72456223776224|0.148|25.59|8.444|0.87|0.013
Iceland basalts|1|1390.14861833336|1.29907032380787|47.87|0.9|16.12|8.76|0.16|10.43|12.74|1.73|0.07
Iceland basalts|1|1392.16411164534|1.31732156807177|48.13|0.9|16.32|8.85|0.15|10.34|12.86|1.74|0.08
Iceland basalts|1|1502.30082403997|1.84972699881183|45.218|0.38|9.862|8.8591986013986|0.15|24.166|9.242|0.96|0.016
Iceland basalts|1|1384.73434102182|1.15457317423888|49.58|0.92|15.55|8.88|0.15|10.31|12.59|1.8|0.08
Iceland basalts|1|1449.46317658158|1.39118437226007|47.39|0.5|12.52|8.88|0.13|18.27|10.93|1.25|0.01
Iceland basalts|1|1396.36967597695|1.33654440373768|47.99|0.88|16.16|8.91|0.16|10.43|12.74|1.72|0.07
Iceland basalts|1|1393.3749492755|1.19129737551772|48.79|0.62|15.43|8.917|0.16|10.72|13.48|1.55|0.01
Iceland basalts|1|1394.10887797387|1.23198157857132|48.81|1.23|14.58|8.93311888111888|0.14|10.89|13.27|1.67|0.15
Iceland basalts|1|1391.52494532508|1.18222487869463|49.23|0.85|14.59|8.94|0.16|11.6|12.59|1.75|0.06
Iceland basalts|1|1393.03668544134|1.2546811629128|48.76|0.89|16.08|8.95|0.15|9.89|13.33|1.67|0.07
Iceland basalts|1|1396.0085012796|1.33790943904765|48.26|0.9|16.33|8.95|0.16|10.29|12.86|1.75|0.07
Iceland basalts|1|1399.13856828764|1.2298461787547|48.56|0.59|14.85|8.99|0.15|12.24|12.97|1.49|0.01
Iceland basalts|1|1393.70192339676|1.23113453279914|49.02|0.87|15.73|9.01|0.15|10.44|12.84|1.68|0.06
Iceland basalts|1|1409.69232581286|1.30253694126609|48.18|0.57|14.12|9.01|0.15|14.06|12.33|1.41|0.01
Iceland basalts|1|1404.9549573229|1.28457896169399|47.98|0.6|15.03|9.02916083916084|0.13|12.59|13.13|1.22|0.1
Iceland basalts|1|1395.8995926744|1.28521775231581|48.86|0.91|16.01|9.04|0.16|10.28|12.69|1.77|0.06
Iceland basalts|1|1405.75978417102|1.42047835276674|47.92|1.02|15.99|9.11|0.16|10.51|12.53|1.79|0.08
Iceland basalts|1|1476.02646996499|1.72628378872787|46.21|0.5|13|9.162|0.16|18.78|10.79|1.16|0.05
Iceland basalts|1|1401.7865260364|1.28867507065783|49.15|0.9|15.61|9.19|0.15|10.14|12.82|1.78|0.07
Iceland basalts|1|1475.78865695505|1.49392281951574|46.96|0.551|11.34|9.22178321678322|0.166|18.6|10.71|1.1|0.035
Iceland basalts|1|1408.15858989563|1.38409496350774|48.54|1.01|15.05|9.24|0.16|11.68|12.24|1.8|0.08
Iceland basalts|1|1423.12542087185|1.65513013727622|46.6|0.96|16|9.24|0.15|12.8|12.4|1.56|0.05
Iceland basalts|1|1425.04052881487|1.42278635227352|48.2|0.56|14|9.34|0.16|13.8|12.2|1.48|0.05
Iceland basalts|1|1408.42396739308|1.34341342358542|49.07|0.98|15.86|9.35|0.16|10.17|12.4|1.74|0.08
Iceland basalts|1|1416.33906234206|1.47866990189649|48.38|1.03|15.99|9.41|0.16|10.08|12.84|1.84|0.07
Iceland basalts|1|1424.60095258103|1.44561045523389|48.2|0.74|14.4|9.46|0.16|12.3|12.9|1.56|0.06
Iceland basalts|1|1425.40551972355|1.60123562262372|47.91|1.06|16.01|9.54|0.16|10.45|12.69|1.89|0.08
Iceland basalts|1|1427.42541560811|1.5158927577419|48.096|0.823|15.217|9.55717342657343|0.167|11.084|12.689|1.72|0.042
Iceland basalts|1|1422.47394987876|1.39064182811867|48.73|0.81|15.12|9.571|0.17|10.74|12.83|1.54|0.06
Iceland basalts|1|1431.85913631378|1.63504914271678|47.8|1.02|15.2|9.63|0.17|12.2|11.9|1.83|0.08
Iceland basalts|1|1433.73361300577|1.63811859964928|47.78|1.02|15.2|9.67|0.16|12.16|11.89|1.79|0.08
Iceland basalts|1|1431.32758165494|1.5550545205094|48.2|0.99|15.32|9.69|0.16|11.61|12.06|1.67|0.08
Iceland basalts|1|1445.89803239316|1.65630694063606|47.721|0.769|14.567|9.8519986013986|0.174|12.443|11.899|1.69|0.035
Iceland basalts|1|1432.57259670597|1.54449921604209|48.5|1.04|16.5|9.88|0.17|11|11|1.59|0.07
Iceland basalts|1|1433.63333402977|1.54398055108821|48.55|1.04|16.51|9.92|0.17|10.95|11|1.56|0.08
Iceland basalts|1|1441.32044100181|1.63745322967533|48.05|1.06|16.3|9.98|0.16|11.06|11.54|1.53|0.08
Iceland basalts|1|1469.95859776398|1.85717641103108|47.87|0.92|14.76|10.441972027972|0.16|10.95|13|1.7|0.03
Iceland basalts|1|1475.51389091867|1.74100379752329|48.4|0.67|13.55|10.5589510489511|0.13|11.29|13.6|1.34|0.15
Iceland basalts|1|1481.5307895277|1.99887868831972|47.37|0.83|14.81|10.579958041958|0.12|11.41|12.97|1.69|0.01
Iceland basalts|1|1480.52525836059|1.95714384496463|47.81|1.41|14.37|10.6789510489511|0.17|10.89|12.47|1.62|0.2
Iceland basalts|1|1495.11923798481|2.33189342210245|46.6|1.37|14.2|10.7|0.18|12.3|12.1|2.05|0.21
Hawaiian basalt|2|1551.14142701482|2.04806049717897|47.98|1.3|9.04|10.6555104895105|0.16|21.22|6.31|1.64|0.31
Hawaiian basalt|2|1457.72608189011|1.63765544614231|50.63|2.39|13.61|10.673|0.17|8.61|10.86|2.2|0.45
Hawaiian basalt|2|1466.62374575785|1.66401062657758|50.04|1.82|11.93|10.702|0.17|11.9|9.7|2.26|0.33
Hawaiian basalt|2|1478.33776502549|1.81560042470013|49.07|2|12.28|10.783|0.17|13.23|9.75|1.89|0.3
Hawaiian basalt|2|1536.52251236363|1.95434473804731|48.43|1.47|9.87|10.792|0.17|17.4|8.43|1.76|0.26
Hawaiian basalt|2|1470.91997530711|1.58347448489223|50.18|1.87|12.15|10.8369370629371|0.17|11.3|9.84|1.85|0.29
Hawaiian basalt|2|1471.10640258615|1.65045129432563|50.18|1.82|11.94|10.837|0.17|12.16|9.23|2.13|0.34
Hawaiian basalt|2|1472.53718450162|1.75512214446825|50.14|2.61|12.78|10.882|0.17|8.59|10.65|2.33|0.42
Hawaiian basalt|2|1474.05751854185|1.64138680691559|50.26|1.65|12|10.888|0.17|13.08|8.87|1.96|0.34
Hawaiian basalt|2|1483.22977646082|1.79248306097356|49.35|1.69|11.92|10.889|0.17|14.3|8.73|1.88|0.34
Hawaiian basalt|2|1462.97622892202|1.58805884683881|51.23|2.06|13.52|10.902|0.17|8.81|10.02|2.21|0.41
Hawaiian basalt|2|1471.91426043991|1.70095076446795|50.14|2.28|12.88|10.9146433566434|0.18|9.6|10.19|2.09|0.41
Hawaiian basalt|2|1524.54352217517|1.87156150269325|48.99|1.76|10.86|10.934|0.17|16.22|8.19|1.8|0.32
Hawaiian basalt|2|1587.1683761229|2.56236455286779|46.47|1.36|9.17|10.944|0.17|21.55|7.08|1.61|0.09
Hawaiian basalt|2|1486.72748494396|1.90617946421078|48.91|2.31|12.08|10.962|0.17|11.23|10.74|2.02|0.33
Hawaiian basalt|2|1494.10349548816|1.88509769223882|48.95|1.84|11.12|10.962|0.17|14.8|8.82|1.97|0.23
Hawaiian basalt|2|1465.83157720991|1.56681130843733|51.35|1.93|13.19|10.967|0.18|9.2|9.97|2.15|0.36
Hawaiian basalt|2|1482.65709238137|1.6370067930043|49.98|1.76|11.32|10.9688111888112|0.17|13.63|9.2|1.68|0.26
Hawaiian basalt|2|1556.01856856821|1.99112446831516|48.64|1.41|9.3|10.97|0.16|20.52|7.21|1.3|0.26
Hawaiian basalt|2|1556.01856856821|1.99112446831516|48.64|1.41|9.3|10.97|0.16|20.52|7.21|1.3|0.26
Hawaiian basalt|2|1482.88062727967|1.69141450028583|49.93|1.74|11.46|10.98|0.17|13.67|9.02|1.86|0.27
Hawaiian basalt|2|1539.4185683665|2.04551929461556|48.17|1.64|10.61|10.989|0.17|16.79|8.28|1.85|0.2
