Location|Age|T_g|P|SiO2|TiO2|Al2O3|FeOT|MnO|MgO|CaO|Na2O|K2O
Aleutian|0|1363.09977465194|1.1691072338254|50.5|0.79|16.51|8.58|0.16|9.22|11.09|2.39|0.61
Andean|0|1329.51280486216|0.996980217874079|52.58|1.03|16.66|8.11|0.15|8.28|8.8|2.97|1.19
Bonin Islands |0|1301.88905263857|0.223407908843016|58.43|0.17|13.91|8.01|0.13|8.77|8.02|1.97|0.52
Bonin Islands |0|1306.97159892176|0.329454018416913|57.89|0.14|13.47|8.1|0.14|9.2|8.03|2.27|0.75
Bonin Islands |0|1311.98728961251|0.211621871431586|58.46|0.1|13.37|8.27||9.39|8.11|1.59|0.7
Bonin Islands |0|1290.07665733932|0.214018088466284|58|0.27|13.9|7.739|0.19|9.64|7.5|1.99|0.6
Bonin Islands |0|1303.2576492967|0.147282110176649|58.77|0.14|13.19|8.09|0.14|9.65|7.89|1.7|0.45
Bonin Islands |0|1331.73603400233|0.376705172239154|57.55|0.17|12.55|8.66|0.13|10.76|7.38|2.07|0.72
Bonin Islands |0|1318.19924511695|0.119086985564707|56.2|0.13|10.57|8.046|0.16|11.19|7.44|1.54|0.4
Bonin Islands |0|1326.41396166158|0.204269783895816|58.43|0.15|11.35|8.57|0.12|11.4|7.76|1.74|0.51
Bonin Islands |0|1326.41396166158|0.204269783895816|58.43|0.15|11.35|8.57|0.12|11.4|7.76|1.74|0.51
Bonin Islands |0|1319.73456140044|0.167059501139617|58.44|0.17|11.71|8.44|0.15|11.43|7.57|1.65|0.45
Bonin Islands |0|1339.79963004544|0.266508380938309|54.95|0.25|10.55|8.383|0.17|11.74|7.39|1.57|0.41
Bonin Islands |0|1333.20155417431|0.187179708667175|55.03|0.11|10.93|8.229|0.13|11.83|9.7|0.74|0.51
Bonin Islands |0|1325.92265445681|0.206981269609533|58|0.11|11.1|8.5|0.16|11.96|8.02|1.76|0.4
Bonin Islands |0|1330.82835801341|0.276287436080359|58.08|0.11|11.17|8.65|0.15|12.01|7.22|2.06|0.54
Bonin Islands |0|1331.72528689092|0.12480755856739|58.37|0.11|11|8.66|0.16|12.17|7.9|1.29|0.34
Bonin Islands |0|1346.08787387593|0.228912263675263|58.34|0.14|10.64|9|0.16|12.24|7.41|1.6|0.47
Bonin Islands |0|1345.01840726025|0.158089464430181|57.23|0.12|10.61|8.8||12.27|9.69|0.87|0.33
Bonin Islands |0|1345.01840726025|0.158089464430181|57.23|0.12|10.61|8.8||12.27|9.69|0.87|0.33
Bonin Islands |0|1343.99389184044|0.160679211222814|57.13|0.11|10.29|8.75|0.14|12.34|7.89|1.18|0.4
Bonin Islands |0|1343.9213349924|0.160521126261197|58.16|0.11|10.48|8.91|0.14|12.56|8.03|1.2|0.41
Bonin Islands |0|1281.51140484026|0.248134805264186|56.7|0.25|13.22|7.423|0.17|12.58|6.79|2|0.72
Bonin Islands |0|1343.08508828424|0.263589363151066|57.16|0.14|11.02|8.75|0.16|13.28|7.65|1.46|0.4
Bonin Islands |0|1364.10748021481|0.292834405130394|57.21|0.14|9.91|9.16|0.17|14.44|7.06|1.3|0.54
Bonin Islands |0|1381.12291274794|0.153585735820861|57.3|0.1|9.24|8.876|0.17|15.04|6.91|1.19|0.35
Bonin Islands |0|1381.04268061864|0.153001839336769|57.77|0.1|9.32|8.96|0.17|15.16|6.97|1.2|0.35
Bonin Islands |0|1392.42232648855|0.303677833197461|54.55|0.22|10.2|8.81|0.17|15.24|6.6|1.13|0.23
Bonin Islands |0|1392.74888534229|0.211881066025806|57.53|0.09|8.93|9.16|0.17|15.78|6.66|1.39|0.29
Cascades|0|1324.85292988601|0.964795702059986|51.62|0.87|16.83|7.89|0.15|9.12|9.86|2.93|0.54
Central America|0|1406.01266113645|1.41289322892636|50.27|1.02|14.6|9.5|0.17|10.63|10.49|2.31|0.77
Greater Antilles|0|1389.93168702809|1.39134642368579|50.23|1.04|15.54|9.2|0.2|10.57|9.57|2.5|0.91
Honshu|0|1366.85859416568|1.20435346773265|51.13|1.03|16.14|8.79|0.16|9.29|9.68|2.53|0.99
Kamchatka|0|1362.28242966561|1.0796799835755|52.22|0.92|14.76|8.78|0.17|9.39|9.96|2.73|0.87
Kermadec|0|1367.57092095935|1.08137748448498|51.33|0.81|15.65|8.76687668766877|0.16|9.07|11.5|2.27|0.53
Kermadec 2|0|1402.25789593913|1.27336646893025|48.39|0.52|17.34|9.06010801080108|0.18|8.01|14.15|1.23|0.16
Kermadec 2|0|1446.66082921756|1.63002127107559|48.36|0.52|17.37|10.0601080108011|0.17|8.06|14.19|1.25|0.16
Kermadec 2|0|1362.1756964816|0.9946795790898|46.64|0.43|16.97|7.90536453645365|0.19|8.14|13.54|1.15|0.04
Kermadec 2|0|1376.17435812628|1.08719462451046|49.04|0.55|17.41|8.60319531953195|0.17|8.31|13.77|1.32|0.14
Kermadec 2|0|1437.5549709992|1.23175926522824|50.78|0.77|14.01|10.2251215121512|0.25|11.98|9.64|1.32|0.17
Lesser Antilles |0|1412.2321167672|1.55258002017902|48.25|0.85|14.48|9.17|0.17|13.69|10.79|2.01|0.45
Luzon|0|1377.83666017238|1.20842563976507|50.85|0.78|14.2|8.92|0.18|10.86|10.75|2.24|0.99
Marianas|0|1336.72480244163|0.983516405835156|51.04|1.01|16.64|8.02|0.15|8.57|11.51|2.62|0.31
New Britain Arc|0|1342.39212497605|0.652901453195809|53.1|0.33|15.7|8.35517551755175|0.17|8.35|10.7|1.79|0.2
