Location|Age|SiO2|TiO2|Al2O3|FeOT|MnO|MgO|CaO|Na2O|K2O
Gorgona Island|86|44.56|0.64|11.17|11.4311431143114|0.2|20.11|9.88|0.68|0.03
Gorgona Island|86|44.5|0.62|10.55|10.954095409541|0.19|20.98|10.05|0.85|0.05
Gorgona Island|86|44.65|0.61|10.11|11.3141314131413|0.19|22.08|8.91|0.81|0.02
Gorgona Island|87|46.5|0.67|12.3|11.3|0.18|17.1|10.5|1.33|0.02
Gorgona Island|87|45.96|0.401|12.63|10.8365734265734|0.206|17.28|9.44|1.69|0.073
Gorgona Island|87|47|0.65|12.3|11.069|0.18|17.3|10.6|1.2|0.05
Gorgona Island|87|44.7|0.66|11.62|11.37|0.19|17.31|10.68|2.08|0.06
Gorgona Island|87|47.4|0.635|12.4|10.2|0.22|17.6|10.7|1.16|0.01
Gorgona Island|87|46.45|0.7|11.88|11.1873006993007|0.18|17.79|10.07|1.11|0.04
Gorgona Island|87|46.45|0.7|11.88|11.1873006993007|0.18|17.79|10.07|1.11|0.04
Gorgona Island|87|44.7|0.67|12|12.5|0.19|18|9.97|0.92|0.03
Gorgona Island|87|47.1|0.7|11.84|11.4301118881119|0.18|18.04|9.67|0.84|0.044
Gorgona Island|87|47.1|0.7|11.84|11.4301118881119|0.18|18.04|9.67|0.84|0.044
Gorgona Island|87|45.13|0.64|11.78|11.2592447552447|0.18|18.25|10.1|1.3|0.06
Gorgona Island|87|46|0.59|12|11|0.16|18.4|10.3|1.11|0.02
Gorgona Island|87|45.55|0.65|11.89|11.1333426573427|0.18|18.42|10.19|1.31|0.06
Gorgona Island|87|45.55|0.65|11.89|11.38|0.18|18.42|10.19|1.31|0.06
Gorgona Island|87|46.3|0.61|11.9|10.6|0.18|18.9|10.2|1.16|0.02
Gorgona Island|87|44.91|0.64|11.6|11.2412587412587|0.18|18.96|9.93|1.21|0.03
Gorgona Island|87|45.22|0.64|11.68|11.0883776223776|0.18|19.09|10|0.22|0.03
Gorgona Island|87|45.22|0.64|11.68|11.33|0.18|19.09|10|1.22|0.03
Gorgona Island|87|46.36|0.66|11.5|11.0074405594406|0.18|19.35|9.43|0.81|0.12
Gorgona Island|87|46.08|0.66|11.19|10.9354965034965|0.18|19.94|9.2|0.71|0.036
Gorgona Island|87|44.56|0.64|11.17|11.42|0.2|20.11|9.88|0.68|0.03
Gorgona Island|87|45.6|0.6|11.2|10.6|0.21|20.5|9.89|0.96|0.04
Gorgona Island|87|45.79|0.63|10.74|10.9624755244755|0.18|20.86|9.1|0.89|0.033
Gorgona Island|87|44.5|0.62|10.55|10.94|0.19|20.98|10.05|0.85|0.05
Gorgona Island|87|46.1|0.63|10.8|11.1|0.18|21|9.17|0.9|0.03
Gorgona Island|87|44.46|0.63|10.58|11.5|0.18|21.45|9.46|1.02|0.02
Gorgona Island|87|45.3|0.6|10.6|10.9|0.18|21.9|9.25|1.04|0.02
Gorgona Island|87|46.58|0.37|10.57|10.261020979021|0.17|21.96|8.42|0.55|0.19
Gorgona Island|87|46.58|0.37|10.57|10.261020979021|0.17|21.96|8.42|0.55|0.19
Gorgona Island|87|44.65|0.61|10.11|11.3|0.19|22.08|8.91|0.81|0.02
Gorgona Island|87|47|0.37|10.7|10.4|0.17|22.2|8.5|0.56|0.19
Gorgona Island|87|46.72|0.35|10.59|10.1261258741259|0.17|22.43|8.65|0.56|0.071
Gorgona Island|87|46.72|0.35|10.59|10.1261258741259|0.17|22.43|8.65|0.56|0.07
Gorgona Island|87|45.93|0.34|10.3|10.05|0.18|22.74|8.5|0.63|0.17
Gorgona Island|87|46.2|0.17|10.4|9.8||23.5|8.5|0.58|0.3
Gorgona Island|87|45.36|0.33|9.98|10.08|0.18|23.54|8.68|0.66|0.05
Gorgona Island|87|46.52|0.31|10.38|9.71244755244755|0.163|23.63|8.55|0.51|0.077
Gorgona Island|87|45.84|0.58|9.75|10.7916083916084|0.18|23.91|8.12|0.53|0.035
Gorgona Island|87|45.27|0.3|9.76|10|0.18|24.44|8.21|0.66|0.07
Gorgona Island|87|44.38|0.53|8.89|10.5398041958042|0.168|25.36|7.42|0.51|0.032
Gorgona Island|87|44.46|0.27|8.71|9.84|0.17|27.29|7.73|0.37|0.02
Gorgona Island|87|44.58|0.32|8.5|9.84|0.18|27.87|7.24|0.33|0.03
Gorgona Island|88|47.55|0.719|10.65|9.7753986013986|0.171|19.99|8.94|0.6|0.144
Curacao|88|46.96|0.649|10.21|9.87432167832168|0.166|20.68|8.53|1.64|0.081
