Reference|Sample|Age|Age_sigma|Latitude|Longitude|Location|GeodynamicContext|SiO2|TiO2|Al2O3|Cr2O3|FeOT|MnO|MgO|CaO|Na2O|K2O|NiO|P2O5|Nb|Ta|Rb|Pressure|Fe2_FeT|SiO2_Primary|TiO2_Primary|Al2O3_Primary|Cr2O3_Primary|Fe2O3_Primary|FeO_Primary|MnO_Primary|MgO_Primary|CaO_Primary|Na2O_Primary|K2O_Primary|NiO_Primary|P2O5_Primary|T_OL|T_p|OL_Mg|F_AFM|Pi|Pf|Residual_Mineralogy
BARRAT et al., 1998|s.C230|1E-05|0|13.28|41.07|EAST AFRICAN RIFT / ETHIOPIAN RIFT / AFAR DEPRESSION / TAT ALI|RIFT VOLCANICS|47.29|1.94|13.49||9.91|0.18|10.84|11.34|2.17|0.63||0.28|16|32||1|0.9|47.1247592952371|1.71132157533679|11.8589436204265|0|0.966550346569113|9.21657651313524|0.180751579144464|16.2445893674096|9.99289765159121|1.90481617240109|0.553011146826122|0|0.245782731922721|1373.96592278069|1467.42877447579|0.912730822276294|0.182514414357877|3.5|1.9|Spinel Peridotite
BARRAT et al., 1998|s.D12|1E-05|0|13.8|40.5|EAST AFRICAN RIFT / ETHIOPIAN RIFT / AFAR DEPRESSION / ALU DALAFFILA|RIFT VOLCANICS|45.67|2.28|14.55||9.55|0.17|10.1|11.15|2.8|0.89||0.43|20|43|3.5|1|0.9|46.1053531698812|2.09943046567623|13.3614200610017|0|0.973563281916383|8.96298073843707|0.173634019564523|14.2836963575775|10.2598458333318|2.56898373866941|0.81656983121992|0|0.394522502724231|1346.08497040628|1416.37570136934|0.906582039796961|0.015736934642151|3.1|2|Spinel Peridotite
SAAL et al., 2007|s.NSK97-126|0.002|0.001|-0.791|-89.4695|GALAPAGOS ISLANDS / SAN CRISTOBAL (CHATHAM) / PACIFIC OCEAN|OCEAN ISLAND|47.09|1.13|17.11||9.04|0.16|11.16|11.33|2.49|0.34||0.15|4.8|8.89|0.63|1|0.9|46.6938203762472|1.06894446532447|16.1625407133934|0|0.948408735541204|8.22279717489342|0.159808799469069|13.2158876834351|10.7140395862963|2.35108846941133|0.321032160481868|0|0.141631835506706|1314.86541548127|1388.30297401631|0.906335634571674|0.050508585512185|2.7|2|Spinel Peridotite
SAAL et al., 2007|s.SG93-22|0.002|0.001|-1.2715|-90.4881|GALAPAGOS ISLANDS / FLOREANA (SANTA MARIA, CHARLES) / PACIFIC OCEAN|OCEAN ISLAND|46.4|1.67|14.39||9.78|0.169|13.3|10.6|2.66|0.83||0.218|19.42|22.15|1.22|1|0.9|46.2353840514211|1.6372195142185|14.1011861477073|0|1.0646649475643|8.80300670370012|0.168481692249265|13.9666142133927|10.3905185344384|2.60614303115434|0.813195005961693|0|0.213586158192348|1339.9600699117|1408.05959624583|0.906159004340755|0.013772160340423|3|2.2|Spinel Peridotite
SAAL et al., 2007|s.SG93-5|0.002|0.001|-0.8682|-91.498|GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / CERRO AZUL / PACIFIC OCEAN|OCEAN ISLAND|48.09|2.04|14.79||9.96|0.175|10.2|11.75|2.45|0.34||0.21|6.11|15.5|1.01|1|0.9|46.9363007544951|1.74719581413525|12.6191163393434|0|0.942858011390138|9.1609158350486|0.173166379164187|15.8116562527253|10.0528502213755|2.08735132039684|0.289673244463235|0|0.178915827462586|1364.85424113186|1456.21265705778|0.911338781575378|0.143279842559358|2.4|2|Spinel Peridotite
WIDOM et al., 1997|s.SMB-6|0.0025|0.0025|37.8|-25.5|AZORES / SAO MIGUEL / AGUA DE PAO / ATLANTIC OCEAN|OCEAN ISLAND|45.9|3.07|12.06||9.9|0.17|11.88|11.11|2.14|1.18||0.48|28.5|42||1|0.9|46.3313655389698|2.88505491211134|11.3109565550078|0|1.03081807227135|9.14989092487052|0.172054394970751|15.1245102960694|10.4343414197007|2.00540970423699|1.10578665934563|0|0.44981152244568|1356.70204966942|1438.34592628513|0.909066304277684|0.062190525346801|3.2|2.2|Spinel Peridotite
ZANON and FREZZOTTI 2013|s.PIC 23|0.008|0.008|38.47|-28.3|AZORES / PICO / FISSURE STAGE / ATLANTIC OCEAN|OCEAN ISLAND|47.44|2.451|12.62||10.0331101054273|0.164|10.57|11.36|2.69|0.91||0.37||||1|0.9|47.0376142868402|2.15479559127976|11.0566155049429|0|0.975337828006058|9.29506298883267|0.164252151519927|15.8658071651438|9.9771328272516|2.35350041690996|0.796165568545748|0|0.323715670727392|1373.96663023263|1457.61728261498|0.910903223654338|0.115208169256322|3.4|2|Spinel Peridotite
DONNELLY-NOLAN et al., 1991|s.1020M|0.0105|0|41.2053|-121.4938|CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN|CONVERGENT MARGIN|48|0.82|18.2||8.77|0.16|9.49|11.92|2.43|0.12||0.08|1|3||1|0.9|47.2269958687058|0.74056688186636|16.3926411076367|0|0.877021778159049|8.13504935794317|0.160767855152472|13.3407014957025|10.7591968761538|2.18705430881852|0.108002681916964|0|0.072001787944643|1312.99098288185|1391.59422019971|0.907096378691208|0.093254158489203|2.8|1.9|Spinel Peridotite
DONNELLY-NOLAN et al., 1991|s.1257M|0.0105|0.00525|41.4892|-121.6548|CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN|CONVERGENT MARGIN|48.5|0.96|17.6||9.25|0.17|8.84|11.78|2.61|0.2||0.12|3|||1|0.9|47.232800039615|0.81740693634602|14.9236912157675|0|0.870376297078516|8.6801889965267|0.170448907630497|14.8028743902497|10.0209350596012|2.21028532090534|0.169370522674738|0|0.101622313604843|1346.17083648606|1429.95569998321|0.910025969334386|0.144369661556824|3.3|1.8|Spinel Peridotite
DONNELLY-NOLAN et al., 1991|s.1463M|0.0105|0.00525|41.2393|-121.6037|CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN|CONVERGENT MARGIN|48.6|0.9|17.8||8.99|0.16|8.88|11.62|2.71|0.24||0.1|3|||1|0.9|47.4642082681193|0.780779414630474|15.3846553365148|0|0.862413951687637|8.43020363990199|0.160894217164777|14.2107833640981|10.0727733792038|2.33974152187558|0.207209581273114|0|0.086337325530464|1335.46319130509|1414.46490965221|0.909078966626779|0.134258712570414|3.1|1.8|Spinel Peridotite
