Reference|Sample|Age|Age_sigma|Latitude|Longitude|Location|GeodynamicContext|SiO2|TiO2|Al2O3|Cr2O3|FeOT|MnO|MgO|CaO|Na2O|K2O|NiO|P2O5|Nb|Ta|Rb|Fe2_FeT|Fe2O3_TiO2|SiO2_Primary|TiO2_Primary|Al2O3_Primary|Cr2O3_Primary|Fe2O3_Primary|FeO_Primary|MnO_Primary|MgO_Primary|CaO_Primary|Na2O_Primary|K2O_Primary|NiO_Primary|P2O5_Primary|T_OL|T_p|OL_Mg|F_AFM|Pi|Pf|Residual_Mineralogy
 GIROLAMO et al.,1984|CF 52|0.03||40.76|14|APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / PROCIDA ISLAND|CONVERGENT MARGIN|47.24|0.93|17.4||7.78|0.17|5.31|12.75|3.68|1.64||0.51|||68|0.94620822622108|0.5|46.9631086106632|0.784688987392769|14.6042018520685||0.389779211854751|8.41800671089723|0.184504224985828|13.0117783118117|10.757022832018|3.08470430026986|1.37470517729418||0.427499780743921|1327.97770468568|1382.91512423161|0.904857950209085|0.05|2.7|2|Spinel Peridotite
XU et al.,2007|s.LZ-56|255|4|26|102|EMEISHAN / YUNNAN PROVINCE / BINCHUAN SECTION|CONTINENTAL FLOOD BASALT|46.32|2.79|9.92||10.56|0.16|12.52|10.65|0.89|1.36||0.22|41.5|2.9|36.5|0.881107954545455|0.5|47.3540622680859|2.50770136487127|8.88799117241215||1.2472594997957|9.69921969710437|0.162445273872614|18.3714554848493|9.56145594546361|0.79574261994134|1.21596625069688||0.196700422906848|1405.33068095614|1522.07275522962|0.917513100394022|0.293495469845663|3.5|1.5|Harzburgite
VENTURELLI et al.,1984|s.118|28.45|5.45|45.78|7.95|WESTERN ALPS / ARTOGNA VALLEY|CONVERGENT MARGIN|48.6|0.97|16.1||8.498|0.17|6.53|12.4|2.42|0.93||0.67||||0.948634972934808|0.5|47.7087252391985|0.771599041094984|12.7227221916968||0.382450952278057|9.03520605496073|0.17783456081292|16.1794430483285|9.8520130803763|1.90831196806783|0.73335955797648||0.528334305208862|1374.70789209905|1465.74302348445|0.913372320626827|0.224519029904238|3.5|1.5|Spinel Peridotite
SAAL et al.,2007|s.NSK97-220|0.002|0.001|-0.3525|-91.5667|GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN|OCEAN ISLAND|48.88|2.47|16.15||9.62|0.164|7.17|12.68|2.32|0.31||0.244|15.86|1.2|6.09|0.88445945945946|0.5|46.9407169250916|1.93642725396706|12.5824042187581||0.960209430266286|9.15552287888243|0.165759281958808|16.0960929147105|9.92833924002082|1.80379423337472|0.241024229459553||0.1897093935101|1366.11218475675|1463.58518396272|0.912515861432523|0.180555063035943|3.5|2|Spinel Peridotite
SAAL et al.,2007|s.NSK97-260|0.002|0.001|-1.2333|-90.4225|GALAPAGOS ISLANDS / FLOREANA (SANTA MARIA, CHARLES) / PACIFIC OCEAN|OCEAN ISLAND|46.78|1.75|14.3||9.09|0.172|13.21|11.68|2.29|0.54||0.193|15.26|0.97|11.27|0.913366336633663|0.5|46.7357659097122|1.7482160919154|14.2852946363127||0.874102198758827|8.2970805181708|0.171875502047076|13.1996708663677|11.6680960517462|2.28765032589453|0.539445928376877||0.192801970697661|1311.91868282412|1387.87515665576|0.906078224075512|0.032738234619239|2.8|2|Garnet Peridotite
SAAL et al.,2007|s.SG93-5|0.002|0.001|-0.8682|-91.498|GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / CERRO AZUL / PACIFIC OCEAN|OCEAN ISLAND|48.09|2.04|14.79||9.96|0.175|10.2|11.75|2.45|0.34||0.21|15.5|1.01|6.11|0.907831325301205|0.5|46.9043658851505|1.73811206258722|12.5521246479459||0.864346990263684|9.23758360687376|0.172973246846533|15.988121362007|10.0001751681381|2.07612757465297|0.288115663421228||0.177953792113111|1367.87779897291|1460.78818887975|0.911611452469503|0.145145207931752|3.5|2|Spinel Peridotite
KELLEY et al.,2003|s.185-1149D-16R-3-2-8|130||31.3132|143.4004|IZU-BONIN ARC / NADEZHDA BASIN / SITE 1149 / PACIFIC OCEAN|CONVERGENT MARGIN|49.78|1.78|16.01||8.109|0.235|6.74|12.53|2.88|0.468||0.18|7.55|0.496|4.23|0.901220865704773|0.5|48.7244457193444|1.51168070215819|13.5317125463017||0.751320149300243|8.04465204237498|0.245389003392924|13.5774770231384|10.6350559749653|2.43123823593786|0.395076213339903||0.151952389746116|1320.64523076899|1397.8306207474|0.908640545056282|0.161662382988232|2.5|1.5|Spinel Peridotite
COX et al.,1993|s.S.953|5||13.58|46.12|ARABIAN-NUBIAN SHIELD - CENOZOIC / YEMEN / ADEN REGION|INTRAPLATE VOLCANICS|45.68|2.03|16.03||9.015|0.15|10.35|11.46|2.89|0.89||0.43|48||20|0.898668885191348|0.5|45.7851008420489|1.92609849588574|15.184399646064||0.961010400048868|8.30127640951404|0.151791243749275|12.8348513402027|10.8694087809046|2.73627591738052|0.842659365560091||0.407127558641393|1315.97900316345|1378.23914198009|0.905098381105633|0.05|2.8|2.5|Spinel Peridotite
HALL et al.,1985|s.149224|2133||64.745|-49.85|NORTH ATLANTIC CRATON_ARCHEAN / GREENLAND - IVISAARTOQ GREENSTONE BELT / MD THOLEIITE DYKE SWARMS|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|49.45|0.57|17.08||8.209|0.19|9.36|12.62|1.98|0.28||0.11|||15|0.968753806797418|0.5|48.3814582138409|0.500690438516742|14.9517274099338||0.249227105992094|8.2689835429651|0.190849554761962|14.3078067816188|11.0767368078048|1.73147252583981|0.244854700623812||0.096192918102212|1324.50360815877|1417.00735382269|0.909968307741067|0.201199011006333|3|1.5|Spinel Peridotite
WANG et al.,2007|s.HK-87|260||21.2238|104.1857|EMEISHAN / SONG DA DISTRICT|CONTINENTAL FLOOD BASALT|47.45|1.3|13.6||9.47|0.17|8.06|12.62|1.43|0.31||0.1|7.26|0.51|8.75|0.938225976768743|0.5|47.6770389457071|1.03157598849594|10.7196503181843||0.510731869280256|9.80684288898799|0.175361040118003|18.6377679635237|9.99526692497083|1.12361011241656|0.243579814579814||0.078574133735424|1403.81677989692|1528.86138660516|0.917518410913652|0.293724960416854|4|1.5|Harzburgite
