Name|Age|T_l|T_l_sigma|N|REE|Fo_O1|Fo_cum|Sample_No
ABITIBI|2710|1495|8|28|yes|yes|no|5 (flowtop)
ALAWA|600|1229|5|20|no|no|no|7
ANDAMAN|63.25|1239|10|12|yes|no|no|4
ANGAY-JUR|197.5|1243|6|12|yes|no|no|4722-la
ANGAY-TRIAS|224|1217|5|25|yes|no|no|472-12
ANSHAN|2660|1514|12|24|yes|no|no|PRC-7b
ARAVALLI|2550|1427|30|20|yes|no|no|2
BAER BASSIT|219|1247|5|18|yes|no|yes|73104
BARBERTON|3451|1576|10|50|yes|yes|no|331/78
BAY OF ISLANDS|485.7|1282|11|40|yes|yes|no|1061A
BAYKAL-VITIM|1700|1335|11|24|yes|yes|no|66
BELINGWE|2760|1466|13|34|yes|yes|no|NG199
CAPE SMITH|1960|1478|5|38|yes|yes|no|30420
CHAMROUSSE|497|1299|5|18|yes|no|no|8020
COCKBURN|390.5|1296|5|11|no|no|no|57983
DIEMALS|2723|1445|9|25|yes|no|no|63673
DUN MT.|272|1268|16|10|yes|no|yes|d (basalt)
ELY|2690|1327|14|56|yes|no|yes|E-205
FANUJ MASKUTAN|84.5|1307|9|11|no|no|yes|39
GILLET|575|1256|10|16|yes|no|no|5439
GORGONA|86|1417|14|15|yes|yes|nz|141
GULLFJELLET|489|1252|21|10|yes|no|no|Ba9
HEATHCOTE|555|1231|5|18|yes|no|no|26380
HIDROLINA|2508|1353|9|12|no|no|yes|H•230
HOLENARSIPUR|3050|1423|5|27|yes|no|yes|23
ILE DE GROIX|460|1325|15|9|yes|no|no|2442
ISLA MARGARITA|120|1299|13|30|yes|no|no|IIIH
ISUA|3760|1393|13|12|yes|yes|no|119229
JORMUA|1960|1300|31|9|yes|no|no|625
KAMBAIX)A|2702|1385|16|12|yes|yes|no|25
KOIKARY|2935|1383|5|13|no|no|yes|1257-1
KOLAR|2900|1451|6|35|yes|no|no|3(17-10)
KUCHMO|2610|1394|5|18|no|no|yes|12
LAWLERS|2650|1452|22|22|yes|no|yes|180
LEKA|497|1267|7|16|yes|yes|no|78-35
LEWISIAN|2000|1347|5|11|yes|no|yes|91
LIGURIDES|172|1319|20|23|yes|no|yes|Li33
MAD RIVER|500|1264|10|17|yes|no|no|5346
MALENE|3000|1420|30|12|no|no|no|207625
MEEKATHARA|2579|1442|14|11|no|no|no|1
MINNESOTA|3255|1395|9|13|yes|no|no|M-14-16
NIANDAN|2150|1431|5|10|no|no|no|BF7
OMAN|90|1263|5|32|yes|yes|no|OM5782
OTTAWA|1960|1427|8|10|yes|yes|no|BLS-60-79
PALAJA LAMBA|2860|1309|6|29|yes|no|yes|4(414)
PALOSELVINSKY|2850|1357|5|20|no|no|yes|8
PHALUD|1012|1383|22|16|yes|no|no|221-7
PINDOS|167|1281|6|12|yes|no|yes|3
SHUKSAN|163.5|1256|9|12|yes|no|no|A-572(2)
SKALVAER|458|1246|9|1(3|yes|no|no|H5
STAVFJORDAN|468|1236|6|25|yes|no|no|8719
QINGYUAN|2830|1387|5|9|yes|no|yes|11
SARGUR|3050|1309|5|14|no|no|yes|2
SARMIENTO|141|1259|17|11|yes|no|no|U166-2
SCHILOS-YUZNO|2900|1305|15|22|no|no|ao|2
SHIONOMISAKI|15.5|1212|5|9|yes|no|no|3-MS-7
SUOMUSSALMI|2650|1329|9|12|yes|no|no|S100
TAIWAN|15|1308|9|12|yes|yes|no|112B
TALGA-TALGA|3500|1529|21|13|yes|no|no|34 C
TETILLA|105|1240|13|10|no|yes|no|25771
THOMPSON|1883|1366|8|34|yes|no|yes|109(495)
TOKSHINSKY|2900|1394|19|10|no|no|yes|10/41-1
TORTUGA|140|1223|6|29|yes|no|no|NT-22
TRINITY|452|1256|5|13|yes|no|yes|TR130A
TROODOS|85|1305|12|9|yes|yes|no|244AL
VETRENY-POAS|2010|1422|5|49|no|no|yes|3552a
VISNES:KARMOY|485|1335|19|21|yes|no|no|K50
WATERBURY|500|1250|8|14|yes|no|no|5218
WELLINGTON|555|1255|9|14|yes|no|no|26348
WOOLMIN|444|1273|12|9|no|no|no|20
XIGAZE|110|1328|21|26|no|yes|no|15
