Reference|Sample|Age|Age_sigma|Latitude|Longitude|Location|GeodynamicContext|SiO2|TiO2|Al2O3|Cr2O3|FeOT|MnO|MgO|CaO|Na2O|K2O|NiO|P2O5|Nb|Ta|Rb|Pressure|Fe2_FeT|SiO2_Primary|TiO2_Primary|Al2O3_Primary|Cr2O3_Primary|Fe2O3_Primary|FeO_Primary|MnO_Primary|MgO_Primary|CaO_Primary|Na2O_Primary|K2O_Primary|NiO_Primary|P2O5_Primary|T_OL|T_p|OL_Mg|F_AFM|Pi|Pf|Residual_Mineralogy
FERRY ,1985|samp. 133-1|58||57.22|-6.22||CONTINENTAL FLOOD BASALT|49.1|0.71|15.4||8.649|0.16|7.95|12.2|2.15|0.42||0.05||||1|0.8|49.4399106541712|0.648441634565887|14.0176869138747|0|1.74801514096743|7.54557413734921|0.167850755048035|12.9134789967897|11.1362115542605|1.95537593812694|0.381980415820146|0|0.0454738590262079|1306.40824844109|1380.31783236494|0.908127102776608|0.234915938255525|2.7|1.3|Harzburgite
FERRY ,1985|samp. 79-1|58||57|-5.7||CONTINENTAL FLOOD BASALT|48.2|0.97|14.3||9.72|0.16|8.41|12.1|2.35|0.38||0.08||||1|0.8|48.278788071407|0.845874850830664|12.4152851092066|0|1.87271077133716|8.43320785978385|0.165951971478641|15.0108107656587|10.5411126061041|2.03743995955664|0.329458376438946|0|0.0693596581976727|1353.45134673664|1435.38193495108|0.912148970554725|0.250578313318125|3.3|1.3|Harzburgite
DEBARI ,1994|samp. SF-100|462.5||-27|-67.6||CONVERGENT MARGIN|50|0.37|17.52||9.93|0.22|7.71|12.29|1.67|0.22||0.05|29.89|||1|0.8|48.0798020990038|0.300236484762548|14.139591027025|0|1.77786894626349|8.54009788320502|0.222146563701995|15.4156616163394|9.96157464446399|1.34548692156799|0.177249774098777|0|0.040284039567904|1353.94122496764|1445.92594188947|0.912206759478168|0.272130834239293|3.3|1.3|Harzburgite
XU et al., 2007|s.LZ-56|255|4|26|102|EMEISHAN / YUNNAN PROVINCE / BINCHUAN SECTION|CONTINENTAL FLOOD BASALT|46.32|2.79|9.92||10.56|0.16|12.52|10.65|0.89|1.36||0.22|36.5|41.5|2.9|1|0.8|47.7732383934523|2.67305038876984|9.48520618106208|0|2.24144880651551|8.87412923766599|0.165187585282304|16.2318177812078|10.1966694021408|0.850094930880171|1.2990214674124|0|0.210135825610829|1370.81423805064|1467.09834823003|0.914130771968215|0.27671803252038|3.5|1.5|Harzburgite
UJIKE et al., 2007|s.K170|2700|0|49.5|-94.95|SUPERIOR PROVINCE_ARCHEAN / WABIGOON GREENSTONE BELT / WESTERN WABIGOON GREENSTONE BELT / UPPER KEEWATIN ASSEMBLAGE|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|50.34|0.58|12.71||11.06|0.18|11.39|11.79|1.56|0.26||0.13|6||0.2|1|0.8|48.842859028703|0.497812777415495|10.8705043779987|0|2.0985688101539|8.98929030423163|0.176433210347494|16.7515023850794|10.1080253710704|1.33200298800004|0.222000498000006|0|0.111000249000003|1381.6795756603|1480.52149031206|0.913913019845249|0.304701792605657|3.6|1.1|Harzburgite
GARDE ,2007|s.477310|3025|25|64.75|-51|NORTH ATLANTIC CRATON_ARCHEAN / GREENLAND - QUSSUK GREENSTONE BELT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|49.37|0.53|16.75||9.55|0.17|7.27|12.54|1.49|0.38||0.02|7|0.8|0.07|1|0.8|48.3402665904092|0.438200530719278|13.77271990308|0|1.74209166036923|8.44029245606098|0.175912520435435|15.1819941612549|10.3570573010804|1.22311252175662|0.311934737092291|0|0.0164176177416995|1347.21032072444|1439.84362548805|0.911735984931516|0.271856459608218|3.3|1.3|Harzburgite
SAAL et al., 2007|s.CA90-15|0.002|0.001|-0.87|-91.35|GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / CERRO AZUL / PACIFIC OCEAN|OCEAN ISLAND|48.73|2.16|15.61||10.12|0.17|7.2|12.51|2.82|0.46||0.23|9|5.71|3.54|1|0.8|47.0714754223682|1.76304962174103|12.6733405247568|0|1.82301306022995|8.69513726779711|0.173103970440002|14.7539974144977|10.2015772550929|2.28597191050574|0.372889035047035|0|0.186444517523518|1351.77359881792|1428.67916911925|0.909880605606857|0.132940931566804|3.2|2|Spinel Peridotite
SAAL et al., 2007|s.GI92-4|0.002|0.001|-0.63|-90.38|GALAPAGOS ISLANDS / SANTA CRUZ (INDEFATIGABLE) / PACIFIC OCEAN|OCEAN ISLAND|47.19|1.28|16.03||10.35|0.163|11.4|10.81|2.46|0.15||0.159|1.34|23.26|0.22|1|0.8|46.6496108450137|1.19285116500492|14.9125777561855|0|2.13839596911096|8.36457440786656|0.162248649426049|13.9360378868048|10.0692605212535|2.28715394957085|0.13946060668115|0|0.147828243082019|1336.51038983283|1407.25677879609|0.908457303357721|0.113684241827025|3|2|Spinel Peridotite
SAAL et al., 2007|s.NSK97-220|0.002|0.001|-0.3525|-91.5667|GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN|OCEAN ISLAND|48.88|2.47|16.15||9.62|0.164|7.17|12.68|2.32|0.31||0.244|6.09|15.86|1.2|1|0.8|47.3497729047529|2.05973126803486|13.4018598872488|0|1.77168379044809|8.29533043874408|0.167781383922192|14.0061747820944|10.5658374302156|1.9227004960788|0.256912566286391|0|0.202215052173805|1328.55814620906|1409.09807247767|0.908913595563744|0.146112048863395|3|1.8|Spinel Peridotite
SAAL et al., 2007|s.NSK97-232|0.002|0.001|-0.4393|-91.4058|GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN|OCEAN ISLAND|49.53|2.42|16.15||9.63|0.168|6.77|12.33|2.46|0.31||0.237|5.01|14.47|1.08|1|0.8|47.6690156796865|1.96167138487897|13.0182755724508|0|1.72231474369717|8.4097132777546|0.172406716990932|14.640244655909|9.98626430774545|1.97985713527806|0.249494191843983|0|0.190742333764593|1342.98948731938|1425.70670901787|0.910891069956706|0.204832457232332|3.2|1.7|Spinel Peridotite
SAAL et al., 2007|s.NSK97-262|0.002|0.001|-1.3147|-90.5083|GALAPAGOS ISLANDS / FLOREANA (SANTA MARIA, CHARLES) / PACIFIC OCEAN|OCEAN ISLAND|48.19|1.85|16.16||9.8|0.174|8.48|11.72|2.88|0.55||0.201|10.07|13.76|0.84|1|0.8|47.1319445106125|1.62146729692948|14.1141007785616|0|1.90029513248902|8.18831738229691|0.17580824119113|13.4341439229692|10.2655684168579|2.51304335888344|0.479921474786768|0|0.175389484422073|1328.39308397104|1394.0565134697|0.907567336141441|0.0911311490577085|2.8|1.9|Spinel Peridotite
SAAL et al., 2007|s.SG93-15|0.002|0.001|-0.7669|-91.3995|GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / CERRO AZUL / PACIFIC OCEAN|OCEAN ISLAND|48.88|2.4|15.43||10.07|0.173|7|12.5|2.78|0.52||0.267|9.88|21.04|1.42|1|0.8|47.133059171625|1.94411373709013|12.4298188541148|0|1.79979330685495|8.69667106180272|0.176563531391387|14.8349135114517|10.116210592801|2.235890195507|0.418224065346633|0|0.214741972014521|1352.83224368035|1430.79225508057|0.910234899688114|0.143930185512132|3.2|1.9|Spinel Peridotite
SAAL et al., 2007|s.SG93-5|0.002|0.001|-0.8682|-91.498|GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / CERRO AZUL / PACIFIC OCEAN|OCEAN ISLAND|48.09|2.04|14.79||9.96|0.175|10.2|11.75|2.45|0.34||0.21|6.11|15.5|1.01|1|0.8|47.3569995539957|1.86837771714132|13.5150198789971|0|2.02116033032355|8.13358803153517|0.174992058774905|13.4346131304655|10.7557247546535|2.23727837769248|0.310479448332834|0|0.191766718087927|1322.31930118832|1394.06887381423|0.907514133901726|0.108870015999919|2.8|1.8|Spinel Peridotite
CONTE, 1997|s.SH-14|32.5|32.5|39.06|9.1|LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA|CONVERGENT MARGIN|47.95|0.85|20.23||8.822|0.18|6.53|12.04|1.74|0.19||0.04|11|4||1|0.8|47.2114705508141|0.724116252536334|17.1520211095025|0|1.66020271859281|7.84857147648426|0.188933444098141|13.2946409999761|10.2517486055195|1.47351930249169|0.160901533030702|0|0.033874006953832|1309.19500120259|1390.37994433658|0.908417152989037|0.184442236307234|2.8|1.9|Spinel Peridotite
