Sample_ID|Latitude|Longitude|Loc_Prec|Location|Reference|Age|Rock_Type|SiO2|TiO2|Al2O3|Cr2O3|Fe2O3|FeO|MnO|MgO|CaO|Na2O|K2O|NiO|P2O5|T_Ol|T_p|Ol_Mg|F_AFM|Pi|Pf|T_Ol_Pf|Interpretation
gc010697|-21|119|0.5|Coonterunah Gp, Pilbara|Green et al. (2000)|3520|Mg-basalt|50.51582267|0.572819074|10.90320079|0|0.931961232|8.505880686|0.212476259|15.53085048|10.73698134|1.675688801|0.377490334|0|0.036828325|1358|1473|91.2|0.2996|3.27|0.8|1400|OPB
96048540D|-21.2|119|0.5|Sulfur Sprgs Gp, Pilbara|Smithies et al. (2005)|3340|high-Mg tholeiite|47.89441062|0.739897758|6.883320744|0.112478906|0.944402815|10.53323472|0.161768107|22.50271275|8.157580617|1.440986394|0.41693515|0.146439551|0.065831866|1490|1620|92.6|0.4278|6.5|2.2|1599|OPB
02MB256|-21.17|119.65|0.1|Warrawoona |Kato and Nakamura (2003)|3450|komatiitic basalt|48.47032172|0.44642178|9.584213839|0.218919981|1.123311852|9.795761586|0.187289912|18.96356296|9.750632881|1.317057383|0.027825156|0.077580738|0.037100208|1428|1550|91.7|0.3267|4.16|1.5|1504|MORB
485418|64.75|-50|0.5|Ivisaartoq 1,  Greenland|Polat et al. (2008)|3075|tholeiite|47.46228021|0.375573917|9.47019148|0.767743742|1.087676138|10.00410611|0.212527719|19.43836417|9.825204718|1.069322811|0.130405221|0.139216401|0.017387363|1437|1560|91.9|0.3223|4.38|1.8|1527|MORB (SSZ)
485420|64.75|-50|0.5|Ivisaartoq 1, Greenland|Polat et al. (2008)|3075|tholeiite|49.81124956|0.407822243|9.553861926|0.385714005|0.886852077|9.387365041|0.185415624|18.08452064|10.10704844|0.97588991|0.007934064|0.174590215|0.031736257|1411|1532|91.5|0.34|3.83|1|1463|MORB (SSZ)
I-417|65.95|32.48|0.5|Iringora 'ophiolite' Finland |Shchipansky et al. (2004)|2800|tholeiite|48.71581769|0.344342519|8.694635875|0.092377048|0.99674575|10.13165069|0.185146317|20.993143|9.306723912|0.284655405|0.056931081|0.092101554|0.10572915|1465|1591|92.1|0.4086|5.3|1.5|1543|MORB (SSZ)
I-417/2|65.95|32.48|0.5|Iringora 'ophiolite' Finland |Shchipansky et al. (2004)|2800|tholeiite|47.79707123|0.37377337|8.466802735|0.072572505|1.07705122|10.43958995|0.18590113|21.56861814|9.196212742|0.649605305|0.042182163|0.054691608|0.075927893|1475|1602|92.3|0.3876|5.72|2.1|1584|MORB (SSZ)
RKY-17|15.906111|76.159722|0.05|Kushtagi-Hungund, India|Naqv et al. (2006)|2500|high-Mg tholeiite|48.51384378|0.470740489|7.4124405|0.150652526|0.919695467|10.30885397|0.207809809|21.9646006|8.601276193|1.149215249|0.160017313|0.089939505|0.0509146|1481|1610|92.5|0.4372|6.03|1.7|1567|arc/OPB
RKY-18|15.906111|76.159722|0.05|Kushtagi-Hungund, India|Naqv et al. (2006)|2500|high-Mg tholeiite|48.28086757|0.616338284|10.07045161|0.169172966|1.011042235|9.658496381|0.197487417|18.42119098|9.866956178|1.450375577|0.138131007|0.050424298|0.069065504|1417|1539|91.7|0.3082|3.95|1.5|1494|arc/OPB
27GV|38.3|-107|0.5|Dubois, Colorado|Knoper and Condie (1988)|1765|tholeiite|47.29154727|0.535556558|11.86102392|0|1.039776672|9.494339132|0.189733855|17.12564573|10.26648465|1.690767284|0.352619915|0.107297332|0.045207681|1391|1510|91.4|0.2135|3.56|2|1492|arc/OPB
