Age|T_p|T_p_sigma
50|1317.08|1.89949
150|1349.83|2.92046
250|1350.59|2.99538
350|1312.21|4.91907
450|1314.38|4.69466
550|1309.13|5.82338
650|1339.25|9.84457
750|1358.6|6.77327
850|1368.55|6.34739
950|1354.08|9.50408
1050|1346.5|7.86553
1150|1339.63|6.8005
1250|1349.08|8.98182
1350|1347.92|14.9914
1450|1350.44|13.6025
1550|1355.72|12.5836
1650|1361.4|11.6512
1750|1358.23|7.39982
1850|1378.03|4.93001
1950|1385.29|7.63916
2050|1382.04|8.98765
2150|1378.42|9.46244
2250|1389.95|9.21202
2350|1408.25|8.02798
2450|1417.66|4.7806
2550|1436.29|6.65531
2650|1441.23|4.94835
2750|1448.74|4.44199
2850|1463.77|5.44922
2950|1429.3|6.28773
3050|1472.39|4.36889
3150|1474.4|6.48923
3250|1498.57|6.7926
3350|1488.99|7.21251
3450|1477.52|7.97297
3550|1456.15|8.71244
3650|1494.17|12.083
3750|1493.04|7.44363
3850|1475.01|13.1294
